Negara;Kematian_anak;Ekspor;Kesehatan;Impor;Pendapatan;Inflasi;Harapan_hidup;Jumlah_fertiliti;GDPperkapita
Afghanistan;90.02.00;10;07.58;44.09.00;1610;09.44;56.02.00;0,265277778;553
Albania;16.06;28;06.55;48.06.00;9930;04.49;76.03.00;0,086805556;4090
Algeria;27.03.00;38.04.00;04.17;31.04.00;12900;16.01;76.05.00;0,145138889;4460
Angola;119;62.03.00;0,142361111;42.09.00;5900;22.04;60.01.00;06.16;3530
Antigua and Barbuda;10.03;45.05.00;06.03;58.09.00;19100;01.44;76.08.00;02.13;12200
Argentina;14.05;18.09;08.01;16;18700;20.09;75.08.00;02.37;10300
Armenia;18.01;20.08;04.04;45.03.00;6700;0,345138889;73.03.00;0,089583333;3220
Australia;04.08;19.08;0,384027778;20.09;41400;01.16;82;0,10625;51900
Austria;04.03;51.03.00;11;47.08.00;43200;0,60625;80.05.00;01.44;46900
Azerbaijan;39.02.00;54.03.00;0,269444444;20.07;16000;13.08;69.01.00;0,105555556;5840
Bahamas;13.08;35;0,353472222;43.07.00;22900;-0.393;73.08.00;0,101388889;28000
Bahrain;08.06;69.05.00;0,234027778;50.09.00;41100;07.44;76;02.16;20700
Bangladesh;49.04.00;16;03.52;21.08;2440;07.14;70.04.00;02.33;758
Barbados;14.02;39.05.00;0,359027778;48.07.00;15300;0,222916667;76.07.00;0,095833333;16000
Belarus;05.05;51.04.00;0,250694444;64.05.00;16200;15.01;70.04.00;01.49;6030
Belgium;04.05;76.04.00;10.07;74.07.00;41100;0,102777778;80;0,101388889;44400
Belize;18.08;58.02.00;05.02;57.05.00;7880;01.14;71.04.00;0,132638889;4340
Benin;111;23.08;04.01;37.02.00;1820;0,614583333;61.08.00;05.36;758
Bhutan;42.07.00;42.05.00;05.02;70.07.00;6420;0,277083333;72.01.00;02.38;2180
Bolivia;46.06.00;41.02.00;0,225;34.03.00;5410;0,3875;71.06.00;03.02;1980
Bosnia and Herzegovina;06.09;29.07.00;11.01;51.03.00;9720;01.04;76.08.00;01.31;4610
Botswana;52.05.00;43.06.00;08.03;51.03.00;13300;0,397222222;57.01.00;0,144444444;6350
Brazil;19.08;10.07;09.01;11.08;14500;08.41;74.02.00;01.08;11200
Brunei;10.05;67.04.00;0,141666667;28;80600;16.07;77.01.00;0,1;35300
Bulgaria;10.08;50.02.00;0,310416667;53;15300;01.11;73.09.00;01.57;6840
Burkina Faso;116;19.02;0,301388889;29.06.00;1430;0,30625;57.09.00;0,26875;575
Burundi;93.06.00;0,397222222;11.06;39.02.00;764;12.03;57.07.00;06.26;231
Cambodia;44.04.00;54.01.00;0,255555556;59.05.00;2520;03.12;66.01.00;0,144444444;786
Cameroon;108;22.02;05.13;27;2660;0,104861111;57.03.00;05.11;1310
Canada;05.06;29.01.00;11.03;31;40700;0,14375;81.03.00;0,085416667;47400
Cape Verde;26.05.00;32.07.00;04.09;61.08.00;5830;0,350694444;72.05.00;0,129861111;3310
Central African Republic;149;11.08;0,193055556;26.05.00;888;02.01;47.05.00;05.21;446
Chad;150;36.08.00;04.53;43.05.00;1930;06.39;56.05.00;06.59;897
Chile;08.07;37.07.00;0,358333333;31.03.00;19400;0,4;79.01.00;0,102777778;12900
China;15.07;26.03.00;05.07;22.06;9530;0,315277778;74.06.00;01.59;4560
Colombia;18.06;15.09;07.59;17.08;10900;0,184722222;76.04.00;02.01;6250
Comoros;88.02.00;16.05;04.51;51.07.00;1410;0,185416667;65.09.00;0,21875;769
Congo  Dem. Rep.;116;41.01.00;0,354861111;49.06.00;609;20.08;57.05.00;06.54;334
Congo   Rep.;63.09.00;85.01.00;02.46;54.07.00;5190;20.07;60.04.00;0,232638889;2740
Costa Rica;10.02;33.02.00;10.09;35;13000;06.57;80.04.00;0,105555556;8200
Cote d'Ivoire;111;50.06.00;05.03;43.03.00;2690;05.39;56.03.00;05.27;1220
Croatia;05.05;37.06.00;0,344444444;38.01.00;20100;0,570138889;76.03.00;01.55;13500
Cyprus;03.06;50.02.00;0,275694444;57.05.00;33900;02.01;79.09.00;01.42;30800
Czech Republic;03.04;66;0,352777778;62.09.00;28300;-1.43;77.05.00;01.51;19800
Denmark;04.01;50.05.00;11.04;43.06.00;44000;03.22;79.05.00;0,102083333;58000
Dominican Republic;34.04.00;22.07;06.22;33.03.00;11100;05.44;74.06.00;02.06;5450
Ecuador;25.01.00;27.09.00;08.06;32.04.00;9350;07.47;76.07.00;0,129166667;4660
Egypt;29.01.00;21.03;0,2125;26.06.00;9860;10.01;70.05.00;03.19;2600
El Salvador;19.02;26.09.00;0,313194444;46.06.00;7300;0,128472222;74.01.00;02.27;2990
Equatorial Guinea;111;85.08.00;04.48;58.09.00;33700;24.09.00;60.09.00;05.21;17100
Eritrea;55.02.00;0,221527778;0,129166667;23.03;1420;11.06;61.07.00;0,209027778;482
Estonia;04.05;75.01.00;06.03;68.07.00;22700;0,093055556;76;0,091666667;14600
Fiji;24.01.00;57.08.00;0,226388889;63.09.00;7350;04.23;65.03.00;0,129861111;3650
Finland;3;38.07.00;0,399305556;37.04.00;39800;0,24375;80;0,102083333;46200
France;04.02;26.08.00;11.09;28.01.00;36900;01.05;81.04.00;02.03;40600
Gabon;63.07.00;57.07.00;03.05;18.09;15400;16.06;62.09.00;04.08;8750
Gambia;80.03.00;23.08;0,25625;42.07.00;1660;04.03;65.05.00;0,257638889;562
Georgia;16.05;35;10.01;52.08.00;6730;08.55;72.08.00;0,105555556;2960
Germany;04.02;42.03.00;11.06;37.01.00;40400;0,526388889;80.01.00;01.39;41800
Ghana;74.07.00;29.05.00;05.22;45.09.00;3060;16.06;62.02.00;04.27;1310
Greece;03.09;22.01;10.03;30.07.00;28700;0,467361111;80.04.00;01.48;26900
Grenada;14.06;23.08;0,268055556;49.02.00;11200;00.48;71.03.00;02.24;7370
Guatemala;35.04.00;25.08.00;0,309027778;36.03.00;6710;05.14;71.03.00;03.38;2830
Guinea;109;30.03.00;0,23125;43.02.00;1190;16.01;58;05.34;648
Guinea-Bissau;114;14.09;08.05;35.02.00;1390;0,150694444;55.06.00;05.05;547
Guyana;37.06.00;51.04.00;05.38;79.01.00;5840;0,259027778;65.05.00;0,128472222;3040
Haiti;208;15.03;0,313194444;64.07.00;1500;05.45;32.01.00;03.33;662
Hungary;6;81.08.00;07.33;76.05.00;22300;02.33;74.05.00;01.25;13100
Iceland;02.06;53.04.00;09.04;43.03.00;38800;05.47;82;02.02;41900
India;58.08.00;22.06;04.05;27.01.00;4410;0,401388889;66.02.00;02.06;1350
Indonesia;33.03.00;24.03.00;0,125694444;22.04;8430;15.03;69.09.00;02.48;3110
Iran;19.03;24.04.00;05.06;19.04;17400;15.09;74.05.00;0,094444444;6530
Iraq;36.09.00;39.04.00;08.41;34.01.00;12700;16.06;67.02.00;04.56;4500
Ireland;04.02;103;09.19;86.05.00;45700;-3.22;80.04.00;02.05;48700
Israel;04.06;35;0,335416667;32.09.00;29600;0,095138889;81.04.00;03.03;30600
Italy;4;25.02.00;09.53;27.02.00;36200;0,221527778;81.07.00;01.46;35800
Jamaica;18.01;31.03.00;0,222916667;49.06.00;8000;0,43125;74.07.00;02.17;4680
Japan;03.02;15;09.49;13.06;35800;-1.9;82.08.00;01.39;44500
Jordan;21.01;48.03.00;08.04;69;9470;08.43;75.08.00;0,170833333;3680
Kazakhstan;21.05;44.02.00;04.29;29.09.00;20100;19.05;68.04.00;02.06;9070
Kenya;62.02.00;20.07;0,21875;33.06.00;2480;02.09;62.08.00;04.37;967
Kiribati;62.07.00;13.03;11.03;79.09.00;1730;01.52;60.07.00;0,183333333;1490
Kuwait;10.08;66.07.00;0,127083333;30.04.00;75200;11.02;78.02.00;02.21;38500
Kyrgyz Republic;29.06.00;51.06.00;06.18;81.07.00;2790;10;68.05.00;03.01;880
Lao;78.09.00;35.04.00;04.47;49.03.00;3980;09.02;63.08.00;03.15;1140
Latvia;07.08;53.07.00;0,297222222;55.01.00;18300;-0.812;73.01.00;01.36;11300
Lebanon;10.03;35.08.00;07.03;60.02.00;16300;0,165277778;79.08.00;0,084027778;8860
